pop	bam	mom	dad	sex	class1	B1	S1U	S1V	S1B	S1G	S1Y	S1R	indv	trash
DBI	DBI03_S296.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI03	S296.r.bam
DBI	DBI04_S305.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI04	S305.r.bam
DBI	DBI05_S336.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI05	S336.r.bam
DBI	DBI06_S256.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI06	S256.r.bam
DBI	DBI07_S63.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI07	S63.r.bam
DBI	DBI08_S324.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI08	S324.r.bam
DBI	DBI09_S332.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI09	S332.r.bam
DBI	DBI10_S337.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI10	S337.r.bam
DBI	DBI11_S306.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI11	S306.r.bam
DBI	DBI12_S216.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI12	S216.r.bam
DBI	DBI13_S200.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI13	S200.r.bam
DBI	DBI14_S215.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI14	S215.r.bam
DBI	DBI15_S279.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI15	S279.r.bam
DBI	DBI16_S214.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI16	S214.r.bam
DBI	DBI17_S285.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI17	S285.r.bam
DBI	DBI18_S325.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI18	S325.r.bam
DBI	DBI19_S304.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI19	S304.r.bam
DBI	DBI20_S205.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI20	S205.r.bam
DBI	DBI21_S329.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI21	S329.r.bam
DBI	DBI22_S346.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI22	S346.r.bam
DBI	DBI23_S243.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI23	S243.r.bam
DBI	DBI24_S239.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI24	S239.r.bam
DBI	DBI25_S281.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI25	S281.r.bam
DBI	DBI26_S219.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI26	S219.r.bam
DBI	DBI27_S342.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI27	S342.r.bam
DBI	DBI28_S199.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI28	S199.r.bam
DBI	DBI29_S326.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI29	S326.r.bam
DBI	DBI30_S203.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI30	S203.r.bam
DBI	DBI31_S312.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI31	S312.r.bam
DBI	DBI32_S201.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DBI32	S201.r.bam
DBI	DB_UN_01_S268.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DB_UN_01	S268.r.bam
DBI	DB_UN_02_S255.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DB_UN_02	S255.r.bam
DBI	DB_UN_03_S301.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DB_UN_03	S301.r.bam
DBI	DB_UN_04_S283.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DB_UN_04	S283.r.bam
DBI	DB_UN_05_S267.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DB_UN_05	S267.r.bam
DBI	DB_UN_06_S270.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DB_UN_06	S270.r.bam
DBI	DB_UN_07_S282.r.bam	0	0	1	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DB_UN_07	S282.r.bam
DBI	DB_UN_08_S275.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DB_UN_08	S275.r.bam
DBI	DB_UN_09_S260.r.bam	0	0	2	-9	1214.683	0.116	0.136	0.181	0.3	0.296	0.41	DB_UN_09	S260.r.bam
DBR	DBR01_S309.r.bam	0	0	2	-9	1202.397	0.092	0.106	0.124	0.275	0.331	0.518	DBR01	S309.r.bam
DBR	DBR02_S323.r.bam	0	0	2	-9	1202.397	0.092	0.106	0.124	0.275	0.331	0.518	DBR02	S323.r.bam
DBR	DBR03_S290.r.bam	0	0	1	-9	1202.397	0.092	0.106	0.124	0.275	0.331	0.518	DBR03	S290.r.bam
DBR	DBR04_S287.r.bam	0	0	1	-9	1202.397	0.092	0.106	0.124	0.275	0.331	0.518	DBR04	S287.r.bam
DBR	DBR05_S311.r.bam	0	0	1	-9	1202.397	0.092	0.106	0.124	0.275	0.331	0.518	DBR05	S311.r.bam
DBR	DBR06_S295.r.bam	0	0	2	-9	1202.397	0.092	0.106	0.124	0.275	0.331	0.518	DBR06	S295.r.bam
DBR	DBR07_S303.r.bam	0	0	1	-9	1202.397	0.092	0.106	0.124	0.275	0.331	0.518	DBR07	S303.r.bam
DBR	DBR08_S264.r.bam	0	0	2	-9	1202.397	0.092	0.106	0.124	0.275	0.331	0.518	DBR08	S264.r.bam
DBR	DBR09_S297.r.bam	0	0	1	-9	1202.397	0.092	0.106	0.124	0.275	0.331	0.518	DBR09	S297.r.bam
DBR	DBR10_S327.r.bam	0	0	1	-9	1202.397	0.092	0.106	0.124	0.275	0.331	0.518	DBR10	S327.r.bam
DBR	DBR11_S298.r.bam	0	0	1	-9	1202.397	0.092	0.106	0.124	0.275	0.331	0.518	DBR11	S298.r.bam
DBR	DBR12_S291.r.bam	0	0	1	-9	1202.397	0.092	0.106	0.124	0.275	0.331	0.518	DBR12	S291.r.bam
DBR	DBR13_S328.r.bam	0	0	2	-9	1202.397	0.092	0.106	0.124	0.275	0.331	0.518	DBR13	S328.r.bam
DBR	DBR14_S242.r.bam	0	0	1	-9	1202.397	0.092	0.106	0.124	0.275	0.331	0.518	DBR14	S242.r.bam
DBR	DBR16_S208.r.bam	0	0	1	-9	1202.397	0.092	0.106	0.124	0.275	0.331	0.518	DBR16	S208.r.bam
